Order date,SUBSIDIARY_CD,GLOBAL_NO,CLASSIFY_CD,CUST_CD,BRAND_CD,INNER_CD,SUPPLIER_CD,Sales order line number,Stock class,Consider count hodiday Saturday,SO QTY,OTHER AREA SHIP DIV,ALLOCATION QTY,SUPPLIER INV AMOUNT,PACKING RANK,PRODUCT_CD,PRODUCT ATTRIBUTION,SPECIAL DIV,LOGICAL PLANT,PURCHASE AMOUNT,VSD,DIRECT SHIP FLG,DELI_DIV,label,Ship Mode,SHIP DECISION NO,PACK QTY,WEIGHT PER PIECE,SUPPLIER_DIV,HEAVY_FLG,EXPENSIVE_FLG,SPECIAL_DIV,ACTUAL_SHIP_DAYS,SPECIFY_PRODUCTION_DAYS,SPECIFY_SHIP_DAYS,HAZARD_FLG,SO_DAY_OF_MONTH,SO_DAY_OF_WEEK,IO_UNFIT_FLG,WEIGHT_UNIT,REASON_CD,SOUF_RCV_NO,QTUF_RCV_NO,SO_TIME,SUPPLIER_CATEGORY_CD,PRODUCT_ASSORT
2022-04-14 00:00:00,MJP,01063186663637,03954109,063186,MSM1,30350820002,3081,3,1,0,4, ,4,1480,Z,HFS6-3060-325,1,0,53,1480,2022-04-27 00:00:00,0,00,1,B,143086,0,520,1.0,0,0,0,10,-1,-1,0,14,4,0,g,   ,,,141915,05, 
2022-05-24 00:00:00,MJP,01063728000306,23028351,063728,TYR1,K8145990056,5661,1,1,4,1, ,1,6610,Z,93A1-46-I-205-19-50.8,1,1,53,6610,2022-06-10 00:00:00,0,00,1,R,385991,0,1100,3.0,0,0,1,8,-1,-1,0,24,2,0,g,   ,,967006,173143,05, 
2022-04-29 00:00:00,MJP,05209655000047,21045919,209655,SMC1,F7498910073,9102,1,1,4,4, ,4,1788,Z,Y200T-D,1,0,53,1788,2022-06-23 00:00:00,0,00,1,C,164862,0,100,3.0,0,0,0,54,-1,-1,0,29,5,0,g,451,,,142600,05, 
2022-05-27 00:00:00,MJP,05214775000013,21030612,214775,IRE1,F7432050006,9131,1,1,4,2, ,2,28800,Z,IF80,1,0,53,28800,2022-06-04 00:00:00,0,00,1,C,199660,0,1,1.0,0,0,0,5,-1,-1,0,27,5,0,g,401,,,151516,05, 
2022-05-03 00:00:00,MJP,05231832000005,23027546,231832,ZJS1,K9012310009,8484,1,1,4,3, ,3,6324,Z,YTI-150,1,0,53,6324,2022-05-07 00:00:00,0,00,1,V,412711,0,430,3.0,0,0,0,1,-1,-1,0,3,2,0,g,401,,,111749,05, 
2022-05-11 00:00:00,MJP,01066309010375,03954110,066309,MSM1,30351200007,3081,2,1,0,1, ,1,1395,Z,HFSP5-6020-470,1,0,53,1395,2022-05-20 00:00:00,0,00,1,S,171830,0,593,1.0,0,0,0,7,-1,-1,0,11,3,0,g,   ,,,114250,05, 
2022-04-20 00:00:00,MJP,05245063000001,21050209,245063,IMA1,F6403521001,8108,1,1,4,1, ,1,4402,Z,TR1-118,1,0,53,4402,2022-04-25 00:00:00,0,00,1,C,459502,0,197,2.0,0,0,0,3,-1,-1,0,20,3,0,g,   ,,,085700,05, 
2022-04-15 00:00:00,MJP,01066622002128,03831322,066622,MSM1,30303100005,7017,2,1,0,1, ,1,2707,Z,RMTSRW16-157-F12-V12-S30-Q12-AC8-KC5-C20,1,0,53,2707,2022-05-09 00:00:00,1,50,1,T,094942,0,212,1.0,0,0,0,2,-1,-1,0,15,5,0,g,455,,,081936,05, 
2022-04-18 00:00:00,MJP,01066622002150,03831322,066622,MSM1,30309622005,7017,3,1,0,1, ,1,3683,Z,RMTSRV20-150-F14-V15-S30-Q15-C15-J13-AC9,1,0,53,3683,2022-05-09 00:00:00,1,50,1,T,094942,0,316,1.0,0,0,0,2,-1,-1,0,18,1,0,g,455,,,193324,05, 
2022-05-10 00:00:00,MJP,05251307000001,23027550,251307,SGY1,K9011980024,8484,1,1,1,2, ,2,434600,Z,NX100WB-B,1,0,53,434600,2022-05-31 00:00:00,1,40,1,,103391,0,199000,3.0,0,0,0,11,-1,-1,0,10,2,0,g,455,,,135057,05, 
2022-06-18 00:00:00,MJP,05251378000014,05029917,251378,MSM1,53093980001,4038,2,1,4,6, ,6,43878,Z,FSP-PS-220-250-160-K-WB2205110004,1,0,53,43878,2022-06-23 00:00:00,1,40,1,R,468198,0,3271,1.0,0,0,0,3,-1,-1,0,18,6,0,g,410,,,104343,05, 
2022-06-18 00:00:00,MJP,05251378000016,05029917,251378,MSM1,53093980001,4038,4,1,4,7, ,7,51191,Z,FSP-PS-220-250-160-K-WB2205110004,1,0,53,51191,2022-06-27 00:00:00,1,40,1,R,344994,0,3271,1.0,0,0,0,5,-1,-1,0,18,6,0,g,410,,,104343,05, 
2022-06-18 00:00:00,MJP,05251378000017,05029917,251378,MSM1,53093980001,4038,5,1,4,7, ,7,51191,Z,FSP-PS-220-250-160-K-WB2205110004,1,0,53,51191,2022-06-28 00:00:00,1,40,1,R,102422,0,3271,1.0,0,0,0,6,-1,-1,0,18,6,0,g,410,,,104343,05, 
2022-06-18 00:00:00,MJP,05251378000018,05029917,251378,MSM1,53093980001,4038,6,1,4,7, ,7,51191,Z,FSP-PS-220-250-160-K-WB2205110004,1,0,53,51191,2022-06-29 00:00:00,1,40,1,R,082431,0,3271,1.0,0,0,0,7,-1,-1,0,18,6,0,g,410,,,104343,05, 
