#,Country Other,Total Cases,New Cases,Total Deaths,Total Recovered,Cases/1M Pop,Deaths/1M Pop,Population
116,Kyrgyzstan,206897,,2991,196406,30750,445,6728271
117,Guadeloupe,203235,,1021,N/A,508349,2554,399794
118,El Salvador,201855,,4230,179410,30816,646,6550389
119,Trinidad and Tobago,191496,,4390,187078,136143,3121,1406585
120,Maldives,186694,,316,163687,345100,584,540985
121,Namibia,172389,,4106,167099,65451,1559,2633874
122,Uganda,172149,,3632,100431,3554,75,48432863
123,Ghana,171889,,1462,170425,5306,45,32395450
124,Jamaica,156869,,3756,N/A,52551,1258,2985094
125,Cambodia,139103,,3056,136044,8102,178,17168639
126,Rwanda,133518,,1468,132039,9817,108,13600464
127,Cameroon,125379,,1974,123280,4492,71,27911548
128,Malta,121420,,885,120149,273448,1993,444033
129,Barbados,110578,,648,108647,383921,2250,288023
130,Angola,107327,,1937,103419,3064,55,35027343
131,Channel Islands,101717,,228,101321,576421,1292,176463
132,DRC,99338,,1468,84489,1043,15,95240792
133,French Guiana,98041,,420,11254,312065,1337,314169
134,Malawi,89535,,2686,N/A,4437,133,20180839
135,Senegal,89053,,1971,87024,5044,112,17653671
136,Ivory Coast,88384,,835,87497,3186,30,27742298
137,Suriname,82588,,1408,N/A,138378,2359,596831
138,New Caledonia,80064,,314,N/A,275214,1079,290915
139,French Polynesia,79254,,650,N/A,278902,2287,284164
140,Eswatini,75191,,1427,73116,63462,1204,1184817
141,Guyana,74137,,1300,72013,93366,1637,794045
142,Belize,71409,,688,N/A,173243,1669,412190
143,Fiji,69117,,885,67226,75997,973,909466
144,Madagascar,68486,,1426,66862,2347,49,29178077
145,Cabo Verde,64477,,417,63755,113580,735,567678
146,Sudan,63993,,5046,58947,1391,110,45992020
147,Mauritania,63848,,997,62471,13025,203,4901981
148,Bhutan,62697,,21,61564,79571,27,787941
149,Syria,57743,,3165,54578,2982,163,19364809
150,Burundi,54721,,38,53569,4334,3,12624840
151,Seychelles,51220,,172,51048,515157,1730,99426
152,Gabon,49051,,307,48674,21038,132,2331533
153,Andorra,48015,,165,N/A,619844,2130,77463
154,Papua New Guinea,46864,,670,46168,5043,72,9292169
155,Curaçao,45986,,295,44720,277812,1782,165529
156,Aruba,44224,,292,42438,410969,2714,107609
157,Tanzania,43223,,846,N/A,683,13,63298550
158,Mauritius,43025,,1051,41278,33752,824,1274727
159,Mayotte,42027,,188,N/A,146815,657,286259
160,Togo,39572,,290,39281,4559,33,8680837
161,Guinea,38572,,468,37757,2782,34,13865691
162,Bahamas,38084,,844,36366,95087,2107,400516
163,Isle of Man,38008,,116,N/A,443335,1353,85732
164,Lesotho,36138,,723,25980,16610,332,2175699
165,Haiti,34667,,860,33734,2968,74,11680283
166,Faeroe Islands,34658,,28,N/A,703959,569,49233
167,Mali,33164,,743,32332,1544,35,21473764
168,Cayman Islands,31472,,37,8553,467797,550,67277
169,Saint Lucia,30215,,410,29805,163225,2215,185113
170,Benin,28036,,163,27847,2193,13,12784726
171,Macao,27673,,123,3487,41458,184,667490
172,Somalia,27334,,1361,13182,1623,81,16841795
173,Micronesia,26547,,65,N/A,225953,553,117489
174,San Marino,26185,,128,26011,768226,3755,34085
175,Solomon Islands,25954,,199,N/A,35989,276,721159
176,Congo,25375,,386,24006,4377,67,5797805
177,Timor-Leste,23460,,138,23102,17131,101,1369429
178,Burkina Faso,22114,,400,21596,1001,18,22102838
179,Liechtenstein,21574,,94,N/A,562013,2449,38387
180,Gibraltar,20550,,113,N/A,609720,3353,33704
181,Grenada,19693,,238,19358,173545,2097,113475
182,Bermuda,18860,,165,18685,304493,2664,61939
183,South Sudan,18819,,147,18115,1620,13,11618511
184,Nicaragua,18491,,225,4225,2728,33,6779100
185,Tajikistan,17786,,125,17264,1786,13,9957464
186,Equatorial Guinea,17229,,183,16907,11512,122,1496662
187,Monaco,17181,,67,N/A,431868,1684,39783
188,Samoa,17006,,31,1605,84089,153,202239
189,Tonga,16950,,13,15638,157310,121,107749
190,Marshall Islands,16138,,17,16121,268711,283,60057
191,Dominica,16038,,74,15964,221691,1023,72344
192,Djibouti,15690,,189,15427,15441,186,1016097
193,CAR,15440,,113,15200,3078,23,5016678
194,Gambia,12626,,372,12189,4935,145,2558482
195,Saint Martin,12324,,63,N/A,310194,1586,39730
196,Vanuatu,12019,,14,11976,37346,44,321832
197,Greenland,11971,,21,2761,210117,369,56973
198,Yemen,11945,,2159,9124,383,69,31154867
199,Caribbean Netherlands,11682,,38,10476,438398,1426,26647
200,Sint Maarten,11051,,92,10905,251353,2093,43966
201,Eritrea,10189,,103,10086,2782,28,3662244
202,Niger,9931,,312,8890,381,12,26083660
203,St. Vincent Grenadines,9674,,124,9493,86723,1112,111551
204,Guinea-Bissau,9614,,177,8929,4659,86,2063367
205,Comoros,9109,,161,8939,10038,177,907419
206,Antigua and Barbuda,9106,,146,8954,91509,1467,99509
207,Liberia,8090,,295,7783,1525,56,5305117
208,Sierra Leone,7779,,126,N/A,937,15,8306436
209,Chad,7701,,194,4874,442,11,17413580
210,British Virgin Islands,7392,,64,N/A,241600,2092,30596
211,Cook Islands,7203,,2,7150,409937,114,17571
212,Sao Tome and Principe,6778,,80,6685,29770,351,227679
213,Turks and Caicos,6752,,40,6709,169900,1007,39741
214,Saint Kitts and Nevis,6607,,48,6559,122645,891,53871
215,Palau,6290,,10,6276,344979,548,18233
216,St. Barth,5507,,6,N/A,553746,603,9945
217,Nauru,5393,,1,5347,494635,92,10903
218,Kiribati,5085,,24,2703,41201,194,123419
219,Anguilla,3904,,12,N/A,256336,788,15230
220,Wallis and Futuna,3550,,8,438,323256,728,10982
221,Saint Pierre Miquelon,3452,,2,2449,599410,347,5759
222,Tuvalu,2943,,1,N/A,243909,83,12066
223,Saint Helena,2166,,,2,354211,,6115
224,Falkland Islands,1930,,,1930,545352,,3539
225,Montserrat,1403,,8,1376,282578,1611,4965
226,Niue,1059,,,1056,652898,,1622
227,Diamond Princess,712,,13,699,,,
228,Tokelau,80,,,,58055,,1378
229,Vatican City,29,,,29,36295,,799
230,Western Sahara,10,,1,9,16,2,626161
231,MS Zaandam,9,,2,7,,,
,Total:,704749931,"+3,536",7010624,,675604068,,
