Unnamed: 0,Address,tinh,tinh_cat,qh,qh_cat,px,px_cat,duong,Address_ch,street,ward,district,province,normalized_address
996,đường trịnh hoài đức,,,,,,,,,đường trịnh hoài đức,,,,đường trịnh hoài đức
997,sông đa nhim - huyện đức trọng,,,,,,,,,sông đa nhim huyện đức trọng,,,,sông đa nhim huyện đức trọng
998,dự án vinhomes gardenia hàm nghi ( có thể sửa thành 3 pn,,,,,,,,,dự án vinhomes gardenia hàm nghi có thể sửa thành 3 pn,,,,dự án vinhomes gardenia hàm nghi có thể sửa thành 3 pn
999,tòa chung cư vinhomes gardenia,,,,,,,,,tòa chung cư vinhomes gardenia,,,,tòa chung cư vinhomes gardenia
1000,đường số 8,,,,,,,,,đường số 8,,,,đường số 8
1001,quận bình tân,,,,,,,,,quận bình tân,,,,quận bình tân
1002,chung cư richstar - no valand,,,,,,,,,chung cư richstar no valand,,,,chung cư richstar no valand
1003,"ngã tư đường tô hiệu & hòa bình , quận tân phú",,,,,,,,,ngã tư đường tô hiệu  quận tân phú,,,Hòa Bình,"ngã tư đường tô hiệu  quận tân phú, Hòa Bình"
1004,1810 tòa s2 chung cư gold season 47 nguyễn tuân,,,,,,,,,1810 tòa s2 chung cư gold season 47 nguyễn tuân,,,,1810 tòa s2 chung cư gold season 47 nguyễn tuân
1005,"linh đàm , hoàng mai , hà nội",,,,,,,,,linh đàm hoàng mai hà nội,,,,linh đàm hoàng mai hà nội
1006,"159 nguyễn thị định , p . an phú , quận 2 , tp . hồ chí minh",,,,,,,,,159 nguyễn thị định p an phú  tp,, Quận 2,Hồ Chí Minh,"159 nguyễn thị định p an phú  tp,  Quận 2, Hồ Chí Minh"
1007,ngõ 41 phố thái hà,,,,,,,,,ngõ 41 phố thái hà,,,,ngõ 41 phố thái hà
1008,"khu dân cư lavender tân bình , thạnh phú , vĩnh cửu , đồng nai",,,,,,,,,khu dân cư lavender tân bình thạnh phú vĩnh cửu,,,Đồng Nai,"khu dân cư lavender tân bình thạnh phú vĩnh cửu, Đồng Nai"
1009,66 bát sứ,,,,,,,,,66 bát sứ,,,,66 bát sứ
1010,đường trần não quận 2,,,,,,,,,đường trần não quận 2,,,,đường trần não quận 2
1011,"phố ngọc khánh , giảng võ , ba đình",,,,,,,,,phố ngọc khánh giảng võ ba đình,,,,phố ngọc khánh giảng võ ba đình
1012,"số 33 / 18 lê trọng tấn , p . sơn kỳ , q . tân phú",,,,,,,,,số 33 18 lê trọng tấn p sơn kỳ q tân phú,,,,số 33 18 lê trọng tấn p sơn kỳ q tân phú
1013,chung cư mulberry lane mỗ lao,,,,,,,,,chung cư mulberry lane mỗ lao,,,,chung cư mulberry lane mỗ lao
1014,chung cư mulberry lane,,,,,,,,,chung cư mulberry lane,,,,chung cư mulberry lane
1015,"phố láng hạ , đống đa",,,,,,,,,phố láng hạ đống đa,,,,phố láng hạ đống đa
1016,"xóm án , tân triều , thanh trì",,,,,,,,,xóm án tân triều thanh trì,,,,xóm án tân triều thanh trì
1017,"lê thánh tôn , p . bến thành q . 1",,,,,,,,,lê thánh tôn p bến thành q 1,,,,lê thánh tôn p bến thành q 1
1018,mặt tiền lê thánh tôn,,,,,,,,,mặt tiền lê thánh tôn,,,,mặt tiền lê thánh tôn
1019,charmington la pointe . vị trí,,,,,,,,,charmington la pointe vị trí,,,,charmington la pointe vị trí
1020,góc ngã tư cao thắng - 3 / 2,,,,,,,,,góc ngã tư cao thắng 3 2,,,,góc ngã tư cao thắng 3 2
1021,luxury service apartment,,,,,,,,,luxury service apartment,,,,luxury service apartment
1022,trung tâm q1,,,,,,,,,trung tâm q1,,,,trung tâm q1
1023,terra royal - quận 3,,,,,,,,,terra royal quận 3,,,,terra royal quận 3
1024,địa chỉ 120 đường khánh hội q4,,,,,,,,,địa chỉ 120 đường khánh hội q4,,,,địa chỉ 120 đường khánh hội q4
1025,"richmond city , nguyễn xí , p . 26 , quận bình thạnh",,,,,,,,,richmond city nguyễn xí p 26 quận bình thạnh,,,,richmond city nguyễn xí p 26 quận bình thạnh
1026,bế văn đàn,,,,,,,,,bế văn đàn,,,,bế văn đàn
1027,phố trần đại nghĩa,,,,,,,,,phố trần đại nghĩa,,,,phố trần đại nghĩa
1028,quận tân bình,,,,,,,,,quận tân bình,,,,quận tân bình
1029,"số 8c lê tấn quốc , phường 13 , quận tân bình . tp . hcm",,,,,,,,,số 8c lê tấn quốc phường 13 quận tân bình tp hcm,,,,số 8c lê tấn quốc phường 13 quận tân bình tp hcm
1030,"8c lê tấn quốc , phường 13 , quận tân bình , hồ chí minh",,,,,,,,,8c lê tấn quốc 3,Phường 1,Quận Tân Bình,Hồ Chí Minh,"8c lê tấn quốc 3, Phường 1, Quận Tân Bình, Hồ Chí Minh"
1031,"l23 , b2 , vĩnh điềm trung",,,,,,,,,l23 b2 vĩnh điềm trung,,,,l23 b2 vĩnh điềm trung
1032,"dự án phát triển nhà phú nhuận , đường 25 , hiệp bình chánh , thủ đức",,,,,,,,,dự án phát triển nhà phú nhuận đường 25 hiệp bình chánh thủ đức,,,,dự án phát triển nhà phú nhuận đường 25 hiệp bình chánh thủ đức
1033,"vạn phúc riverside city , vạn phúc thủ đức",,,,,,,,,vạn phúc riverside city vạn phúc thủ đức,,,,vạn phúc riverside city vạn phúc thủ đức
1034,"ngõ 173 hoàng hoa thám , hà nội",,,,,,,,,ngõ 173 hoàng hoa thám hà nội,,,,ngõ 173 hoàng hoa thám hà nội
1035,"dương văn bé , quận hai bà trưng",,,,,,,,,dương văn bé quận hai bà trưng,,,,dương văn bé quận hai bà trưng
1036,tòa chung cư vinhomes green bay mễ trì,,,,,,,,,tòa chung cư vinhomes green bay mễ trì,,,,tòa chung cư vinhomes green bay mễ trì
1037,tân hương tower a1 - 082 pn,,,,,,,,,tân hương tower a1 082 pn,,,,tân hương tower a1 082 pn
1038,"tập thể láng hạ , đống đa , hà nội",,,,,,,,,tập thể láng hạ đống đa hà nội,,,,tập thể láng hạ đống đa hà nội
1039,đường a4 vcn phước hải,,,,,,,,,đường a4 vcn phước hải,,,,đường a4 vcn phước hải
1040,chung cư ngọc khánh plaza,,,,,,,,,chung cư ngọc khánh plaza,,,,chung cư ngọc khánh plaza
1041,số 1 phạm huy thông,,,,,,,,,số 1 phạm huy thông,,,,số 1 phạm huy thông
1042,"mặt đường đại lộ thăng long - hoài đức , hn",,,,,,,,,mặt đường đại lộ thăng long hoài đức hn,,,,mặt đường đại lộ thăng long hoài đức hn
1043,"hoàng văn thái , thanh xuân , hà nội",,,,,,,,,hoàng văn thái thanh xuân hà nội,,,,hoàng văn thái thanh xuân hà nội
1044,"đường tăng nhơn phú , quận 9",,,,,,,,,đường tăng nhơn phú quận 9,,,,đường tăng nhơn phú quận 9
1045,tòa w3,,,,,,,,,tòa w3,,,,tòa w3
1046,"đường cao đức lân , phường an phú , quận 2",,,,,,,,,đường cao đức lân phường an phú quận 2,,,,đường cao đức lân phường an phú quận 2
1047,samsora vạn phúc - hà đông,,,,,,,,,samsora vạn phúc hà đông,,,,samsora vạn phúc hà đông
1048,"iris garden , số 30 trần hữu dực , mỹ đình",,,,,,,,,iris garden số 30 trần hữu dực mỹ đình,,,,iris garden số 30 trần hữu dực mỹ đình
1049,chung cư iris garden chung cư mỹ đình . 1,,,,,,,,,chung cư iris garden chung cư mỹ đình 1,,,,chung cư iris garden chung cư mỹ đình 1
1050,"số 30 trần hữu dực , mỹ đình 1 , nam từ liêm , hà nội",,,,,,,,,số 30 trần hữu dực mỹ đình 1 nam từ liêm hà nội,,,,số 30 trần hữu dực mỹ đình 1 nam từ liêm hà nội
1051,đường bà huyện thanh quan,,,,,,,,,đường bà huyện thanh quan,,,,đường bà huyện thanh quan
1052,kcn sóng thần 1,,,,,,,,,kcn sóng thần 1,,,,kcn sóng thần 1
1053,"65 tân hương , tân quý , tân phú",,,,,,,,,65 tân hương tân quý tân phú,,,,65 tân hương tân quý tân phú
1054,home city 177 trung kính,,,,,,,,,home city 177 trung kính,,,,home city 177 trung kính
1055,"phường 13 , quận 3",,,,,,,,,phường 13 quận 3,,,,phường 13 quận 3
1056,"phú mỹ - vạn phát hưng , quận 7",,,,,,,,,phú mỹ vạn phát hưng quận 7,,,,phú mỹ vạn phát hưng quận 7
1057,chung cư saigonres plaza,,,,,,,,,chung cư saigonres plaza,,,,chung cư saigonres plaza
1058,"188 đường nguyễn xí , phường 26 , quận bình thạnh",,,,,,,,,188 đường nguyễn xí phường 26 quận bình thạnh,,,,188 đường nguyễn xí phường 26 quận bình thạnh
1059,đường cn 13 - kcn tân bình,,,,,,,,,đường cn 13 kcn tân bình,,,,đường cn 13 kcn tân bình
1060,"số 1a tràng tiền , hoàn kiếm hà nội",,,,,,,,,số 1a tràng tiền hoàn kiếm hà nội,,,,số 1a tràng tiền hoàn kiếm hà nội
1061,chung cư a4 phan xích long . phú nhuận,,,,,,,,,chung cư a4 phan xích long phú nhuận,,,,chung cư a4 phan xích long phú nhuận
1062,"riverside residence , p . tân phú , phú mỹ hưng , quận 7",,,,,,,,,riverside residence p tân phú phú mỹ hưng quận 7,,,,riverside residence p tân phú phú mỹ hưng quận 7
1063,345 khương trung và ngõ 1 bùi xương trạch,,,,,,,,,345 khương trung và ngõ 1 bùi xương trạch,,,,345 khương trung và ngõ 1 bùi xương trạch
1064,the vista an phú,,,,,,,,,the vista an phú,,,,the vista an phú
1065,trung tâm q . bình tân,,,,,,,,,trung tâm q bình tân,,,,trung tâm q bình tân
1066,"26 lô u , đường số 7 , an lạc a , bình tân",,,,,,,,,26 lô u đường số 7 an lạc a bình tân,,,,26 lô u đường số 7 an lạc a bình tân
1067,"khu đô thị : tây nam linh đàm , hoàng mai",,,,,,,,,khu đô thị tây nam linh đàm hoàng mai,,,,khu đô thị tây nam linh đàm hoàng mai
1068,ngõ 173 giảng võ,,,,,,,,,ngõ 173 giảng võ,,,,ngõ 173 giảng võ
1069,122 bùi văn ba phường tân thuận đông quận 7,,,,,,,,,122 bùi văn ba phường tân thuận đông quận 7,,,,122 bùi văn ba phường tân thuận đông quận 7
1070,837 / 7 lê văn lương,,,,,,,,,837 7 lê văn lương,,,,837 7 lê văn lương
1071,"chung cư kosmo tây hồ nằm trên phố xuân la , hà nội",,,,,,,,,chung cư kosmo tây hồ nằm trên phố xuân la hà nội,,,,chung cư kosmo tây hồ nằm trên phố xuân la hà nội
1072,"tô hiến thành , phường 13 , quận 10 , thành phố hồ chí minh",,,,,,,,,tô hiến thành phường 13 0 thành phố,, Quận 1,Hồ Chí Minh,"tô hiến thành phường 13 0 thành phố,  Quận 1, Hồ Chí Minh"
1073,"mt tô hiến thành , p13 , q10",,,,,,,,,mt tô hiến thành p13 q10,,,,mt tô hiến thành p13 q10
1074,hẻm 497 đường hương lộ 2,,,,,,,,,hẻm 497 đường hương lộ 2,,,,hẻm 497 đường hương lộ 2
1075,"trung tâm quận thanh xuân , số 90 nguyễn tuân",,,,,,,,,trung tâm quận thanh xuân số 90 nguyễn tuân,,,,trung tâm quận thanh xuân số 90 nguyễn tuân
1076,"chung cư số 3 vũ phạm hàm , tòa nhà park view",,,,,,,,,chung cư số 3 vũ phạm hàm tòa nhà park view,,,,chung cư số 3 vũ phạm hàm tòa nhà park view
1077,"dự án the eden rose , thanh trì , hà nội",,,,,,,,,dự án the eden rose thanh trì hà nội,,,,dự án the eden rose thanh trì hà nội
1078,mặt tiền đường hẻm phạm ngọc thạch,,,,,,,,,mặt tiền đường hẻm phạm ngọc thạch,,,,mặt tiền đường hẻm phạm ngọc thạch
1079,"29 / 23 đoàn thị điểm , p1 , q . phú nhuận",,,,,,,,,29 23 đoàn thị điểm p1 q phú nhuận,,,,29 23 đoàn thị điểm p1 q phú nhuận
1080,chung cư sunview town - gò dưa - hiệp bình phước - thủ đức - tp . hcm,,,,,,,,,chung cư sunview town gò dưa hiệp  thủ đức tp hcm,,,Bình Phước,"chung cư sunview town gò dưa hiệp  thủ đức tp hcm, Bình Phước"
1081,chung cư safira khang điền - quận 9,,,,,,,,,chung cư safira khang điền quận 9,,,,chung cư safira khang điền quận 9
1082,"số 41 , phố văn quán",,,,,,,,,số 41 phố văn quán,,,,số 41 phố văn quán
1083,"11a hai bà trưng , phường tràng tiền , quận hoàn kiếm , hà nội",,,,,,,,,11a hai bà trưng phường tràng tiền quận hoàn kiếm hà nội,,,,11a hai bà trưng phường tràng tiền quận hoàn kiếm hà nội
1084,"saigonres plaza , 188 nguyễn xí , bình thạnh",,,,,,,,,saigonres plaza 188 nguyễn xí bình thạnh,,,,saigonres plaza 188 nguyễn xí bình thạnh
1085,"462 / 14 nguyễn tri phương , phường 9 , quận 10 , thành phố hồ chí minh",,,,,,,,,462 14 nguyễn tri phương phường 9 0 thành phố,, Quận 1,Hồ Chí Minh,"462 14 nguyễn tri phương phường 9 0 thành phố,  Quận 1, Hồ Chí Minh"
1086,dự án ehome s nam sài gòn,,,,,,,,,dự án ehome s nam sài gòn,,,,dự án ehome s nam sài gòn
1087,chung cư sunshine garden,,,,,,,,,chung cư sunshine garden,,,,chung cư sunshine garden
1088,the park residence mặt tiền đường nguyễn hữu thọ,,,,,,,,,the park residence mặt tiền đường nguyễn hữu thọ,,,,the park residence mặt tiền đường nguyễn hữu thọ
1089,the park residence,,,,,,,,,the park residence,,,,the park residence
1090,"chung cư huỳnh tấn phát ( long sơn building ) , quận 7 , tp . hcm",,,,,,,,,chung cư huỳnh tấn phát long sơn building quận 7 tp hcm,,,,chung cư huỳnh tấn phát long sơn building quận 7 tp hcm
1091,ngay ngã tư hoàng quốc việt - huỳnh tấn phát,,,,,,,,,ngay ngã tư hoàng quốc việt huỳnh tấn phát,,,,ngay ngã tư hoàng quốc việt huỳnh tấn phát
1092,võ văn tần,,,,,,,,,võ văn tần,,,,võ văn tần
1093,tòa a2 chung cư vinhomes gardenia,,,,,,,,,tòa a2 chung cư vinhomes gardenia,,,,tòa a2 chung cư vinhomes gardenia
1094,phố đào tấn,,,,,,,,,phố đào tấn,,,,phố đào tấn
1095,"trung tâm văn cao , liễu giai , đào tấn",,,,,,,,,trung tâm văn cao liễu giai đào tấn,,,,trung tâm văn cao liễu giai đào tấn
1096,vinhomes nguyễn chí thanh,,,,,,,,,vinhomes nguyễn chí thanh,,,,vinhomes nguyễn chí thanh
1097,"phố thụy khuê , q . tây hồ , hà nội",,,,,,,,,phố thụy khuê q tây hồ hà nội,,,,phố thụy khuê q tây hồ hà nội
1098,"saigonres plaza , 188 nguyễn xí , phường 26 , q . bình thạnh",,,,,,,,,saigonres plaza 188 nguyễn xí phường 26 q bình thạnh,,,,saigonres plaza 188 nguyễn xí phường 26 q bình thạnh
1099,khu d - an phú an khánh q2,,,,,,,,,khu d an phú an khánh q2,,,,khu d an phú an khánh q2
1100,"đường tôn thất thuyết , p . dịch vọng hậu , q . cầu giấy",,,,,,,,,đường tôn thất thuyết p dịch vọng hậu q cầu giấy,,,,đường tôn thất thuyết p dịch vọng hậu q cầu giấy
1101,mặt phố phố tôn thất thuyết,,,,,,,,,mặt phố phố tôn thất thuyết,,,,mặt phố phố tôn thất thuyết
1102,phố trương định - hai bà trưng - hà nội,,,,,,,,,phố trương định hai bà trưng hà nội,,,,phố trương định hai bà trưng hà nội
1103,tòa d el dorado - lạc long quân - tây hồ,,,,,,,,,tòa d el dorado lạc long quân tây hồ,,,,tòa d el dorado lạc long quân tây hồ
1104,"838 / 25 / 14 lê trọng tấn , quận bình hưng hòa",,,,,,,,,838 25 14 lê trọng tấn quận bình hưng hòa,,,,838 25 14 lê trọng tấn quận bình hưng hòa
1105,kcn sóng thần,,,,,,,,,kcn sóng thần,,,,kcn sóng thần
1106,"số 7 đại lộc độc lập , kcn sóng thần , bình dương",,,,,,,,,số 7 đại lộc độc lập kcn sóng thần,,,Bình Dương,"số 7 đại lộc độc lập kcn sóng thần, Bình Dương"
1107,kcn sóng thần ngay,,,,,,,,,kcn sóng thần ngay,,,,kcn sóng thần ngay
1108,chung cư the zen gamuda,,,,,,,,,chung cư the zen gamuda,,,,chung cư the zen gamuda
1109,khu kinh doanh phố nhật thái văn lung,,,,,,,,,khu kinh doanh phố nhật thái văn lung,,,,khu kinh doanh phố nhật thái văn lung
1110,"bến nghé , đường thái văn lung , quận 1 , tp hcm",,,,,,,,,bến nghé đường thái văn lung quận 1 tp hcm,,,,bến nghé đường thái văn lung quận 1 tp hcm
1111,kdc city land gò vấp,,,,,,,,,kdc city land gò vấp,,,,kdc city land gò vấp
1112,phố trần hòa,,,,,,,,,phố trần hòa,,,,phố trần hòa
1113,đường kim giang,,,,,,,,,đường kim giang,,,,đường kim giang
1114,"mặt tiền số 85h / 1 nguyễn ảnh thủ , p . hiệp thành , quận 12",,,,,,,,,mặt tiền số 85h 1 nguyễn ảnh thủ p hiệp thành quận 12,,,,mặt tiền số 85h 1 nguyễn ảnh thủ p hiệp thành quận 12
1115,"khu phan xích long , p2 , phú nhuận",,,,,,,,,khu phan xích long p2 phú nhuận,,,,khu phan xích long p2 phú nhuận
1116,"ngõ 26 doãn kế thiện , phường mai dịch tầng",,,,,,,,,ngõ 26 doãn kế thiện phường mai dịch tầng,,,,ngõ 26 doãn kế thiện phường mai dịch tầng
1117,số 399 - 399a - phạm văn bạch,,,,,,,,,số 399 399a phạm văn bạch,,,,số 399 399a phạm văn bạch
1118,"số 167 đường nguyễn sỹ sách . - p . 15 , q . tân bình",,,,,,,,,số 167 đường nguyễn sỹ sách p 15 q tân bình,,,,số 167 đường nguyễn sỹ sách p 15 q tân bình
1119,"399 - 399 a - phạm văn bạch , phường 15 , quận tân bình , tp . hcm",,,,,,,,,399 399 a phạm văn bạch phường 15 quận tân bình tp hcm,,,,399 399 a phạm văn bạch phường 15 quận tân bình tp hcm
1120,"kdc him lam , p . tân hưng",,,,,,,,,kdc him lam p tân hưng,,,,kdc him lam p tân hưng
1121,"địa chỉ 102 đường hoàng quốc việt , phường phú mỹ , quận 7",,,,,,,,,địa chỉ 102 đường hoàng quốc việt phường phú mỹ quận 7,,,,địa chỉ 102 đường hoàng quốc việt phường phú mỹ quận 7
1122,chung cư cao cấp the artemis - số 3 lê trọng tấn,,,,,,,,,chung cư cao cấp the artemis số 3 lê trọng tấn,,,,chung cư cao cấp the artemis số 3 lê trọng tấn
1123,fresca riverside,,,,,,,,,fresca riverside,,,,fresca riverside
1124,"sunny plaza , 110a phạm văn đồng , p3 , quận gò vấp",,,,,,,,,sunny plaza 110a phạm văn đồng p3 quận gò vấp,,,,sunny plaza 110a phạm văn đồng p3 quận gò vấp
1125,"phố lê văn lương , q . thanh xuân",,,,,,,,,phố lê văn lương q thanh xuân,,,,phố lê văn lương q thanh xuân
1126,trung tâm quận thanh xuân,,,,,,,,,trung tâm quận thanh xuân,,,,trung tâm quận thanh xuân
1127,"bộ khoa học và công nghệ , phường quan hoa , quận cầu giấy , tp hà nội",,,,,,,,,bộ khoa học và công nghệ phường quan hoa quận cầu giấy tp hà nội,,,,bộ khoa học và công nghệ phường quan hoa quận cầu giấy tp hà nội
1128,đường nguyễn văn huyên,,,,,,,,,đường nguyễn văn huyên,,,,đường nguyễn văn huyên
1129,"số 48 ngõ 567 hoàng hoa thám , ba đình , hà nội",,,,,,,,,số 48 ngõ 567 hoàng hoa thám ba đình hà nội,,,,số 48 ngõ 567 hoàng hoa thám ba đình hà nội
1130,phố vĩnh phúc,,,,,,,,,phố,,,Vĩnh Phúc,"phố, Vĩnh Phúc"
1131,kdc tân xuân - đạt gia garden,,,,,,,,,kdc tân xuân đạt gia garden,,,,kdc tân xuân đạt gia garden
1132,"chung cư tại horizon , 214 trần quang khải , tân định , quận 1",,,,,,,,,chung cư tại horizon 214 trần quang khải tân định quận 1,,,,chung cư tại horizon 214 trần quang khải tân định quận 1
1133,"hà đô centrosa garden tại số 200 đường 3 / 2 , quận 10",,,,,,,,,hà đô centrosa garden tại số 200 đường 3 2 quận 10,,,,hà đô centrosa garden tại số 200 đường 3 2 quận 10
1134,"a28 , ngõ 347 hoàng quốc việt , nghĩa tân , cầu giấy",,,,,,,,,a28 ngõ 347 hoàng quốc việt nghĩa tân cầu giấy,,,,a28 ngõ 347 hoàng quốc việt nghĩa tân cầu giấy
1135,tập thể quân khu thủ đô,,,,,,,,,tập thể quân khu thủ đô,,,,tập thể quân khu thủ đô
1136,"số 5 ngõ 129 nguyễn trãi , ngã tư sở - hà nội",,,,,,,,,số 5 ngõ 129 nguyễn trãi ngã tư sở hà nội,,,,số 5 ngõ 129 nguyễn trãi ngã tư sở hà nội
1137,the prince residence,,,,,,,,,the prince residence,,,,the prince residence
1138,số 194 giải phóng,,,,,,,,,số 194 giải phóng,,,,số 194 giải phóng
1139,"golden palace , mễ trì",,,,,,,,,golden palace mễ trì,,,,golden palace mễ trì
1140,"phố thái thịnh , quận đống đa",,,,,,,,,phố thái thịnh quận đống đa,,,,phố thái thịnh quận đống đa
1141,"tòa ct 1 chung cư m2 , ban cơ yếu chính phủ , ngã tư lê văn lương - khuất duy tiến , thanh xuân",,,,,,,,,tòa ct 1 chung cư m2 ban cơ yếu chính phủ ngã tư lê văn lương khuất duy tiến thanh xuân,,,,tòa ct 1 chung cư m2 ban cơ yếu chính phủ ngã tư lê văn lương khuất duy tiến thanh xuân
1142,"cityland park hills 18 phan văn trị , phường 10 , quận gò vấp",,,,,,,,,cityland park hills 18 phan văn trị phường 10 quận gò vấp,,,,cityland park hills 18 phan văn trị phường 10 quận gò vấp
1143,"bắc sơn , trảng bom , đồng nai",,,,,,,,,bắc sơn trảng bom,,,Đồng Nai,"bắc sơn trảng bom, Đồng Nai"
1144,"ngõ phố đặng thai mai , quảng an , tây hồ , hn",,,,,,,,,ngõ phố đặng thai mai quảng an tây hồ hn,,,,ngõ phố đặng thai mai quảng an tây hồ hn
1145,phố đặng thai mai,,,,,,,,,phố đặng thai mai,,,,phố đặng thai mai
1146,xuân diệu,,,,,,,,,xuân diệu,,,,xuân diệu
1147,đường nguyễn hữu dật,,,,,,,,,đường nguyễn hữu dật,,,,đường nguyễn hữu dật
1148,nhà k2 tập thể thành công,,,,,,,,,nhà k2 tập thể thành công,,,,nhà k2 tập thể thành công
1149,mặt ngõ 12 láng hạ,,,,,,,,,mặt ngõ 12 láng hạ,,,,mặt ngõ 12 láng hạ
1150,"854 tạ quang bửu , p5 , quận 8",,,,,,,,,854 tạ quang bửu p5 quận 8,,,,854 tạ quang bửu p5 quận 8
1151,tòa nhà ellipse trần phú - hà đông,,,,,,,,,tòa nhà ellipse trần phú hà đông,,,,tòa nhà ellipse trần phú hà đông
1152,tòa nhà ellipse - 110 trần phú - hà đông,,,,,,,,,tòa nhà ellipse 110 trần phú hà đông,,,,tòa nhà ellipse 110 trần phú hà đông
1153,"đường quang trung , gò vấp",,,,,,,,,đường quang trung gò vấp,,,,đường quang trung gò vấp
1154,số 58 phố nguyễn văn tuyết,,,,,,,,,số 58 phố nguyễn văn tuyết,,,,số 58 phố nguyễn văn tuyết
1155,"hancorp plaza 72 trần đăng ninh , cầu giấy , hà nội",,,,,,,,,hancorp plaza 72 trần đăng ninh cầu giấy hà nội,,,,hancorp plaza 72 trần đăng ninh cầu giấy hà nội
1156,"166 / 5 / 2 lý thái tổ , phường 1 , quận 3",,,,,,,,,166 5 2 lý thái tổ phường 1 quận 3,,,,166 5 2 lý thái tổ phường 1 quận 3
1157,"số 1 , ngõ 15 , huỳnh thúc kháng - đống đa - hà nội",,,,,,,,,số 1 ngõ 15 huỳnh thúc kháng đống đa hà nội,,,,số 1 ngõ 15 huỳnh thúc kháng đống đa hà nội
1158,mặt tiền nguyễn văn linh,,,,,,,,,mặt tiền nguyễn văn linh,,,,mặt tiền nguyễn văn linh
1159,"đường làng tăng phú , phường tăng nhơn phú a , quận 9",,,,,,,,,đường làng tăng phú phường tăng nhơn phú a quận 9,,,,đường làng tăng phú phường tăng nhơn phú a quận 9
1160,"lý tự trọng , p . bến nghé , q . 1",,,,,,,,,lý tự trọng p bến nghé q 1,,,,lý tự trọng p bến nghé q 1
1161,mon city,,,,,,,,,mon city,,,,mon city
1162,lô 32 dãy tt 02 kđt mon city . mon city,,,,,,,,,lô 32 dãy tt 02 kđt mon city mon city,,,,lô 32 dãy tt 02 kđt mon city mon city
1163,đốc ngữ,,,,,,,,,đốc ngữ,,,,đốc ngữ
1164,"đường an hà quảng phú , phường an phú , tp tam kỳ , tỉnh quảng nam",,,,,,,,,đường an hà quảng phú phường an phú tp tam kỳ tỉnh,,,Quảng Nam,"đường an hà quảng phú phường an phú tp tam kỳ tỉnh, Quảng Nam"
1165,panko plaza,,,,,,,,,panko plaza,,,,panko plaza
1166,"tp tam kỳ , tỉnh quảng nam",,,,,,,,,tp tam kỳ tỉnh,,,Quảng Nam,"tp tam kỳ tỉnh, Quảng Nam"
1167,"nguyễn văn thương ( đường d1 cũ ) , phường 25 , quận bình thạnh , tphcm",,,,,,,,,nguyễn văn thương đường d1 cũ phường 25 quận bình thạnh tphcm,,,,nguyễn văn thương đường d1 cũ phường 25 quận bình thạnh tphcm
1168,"mặt tiền đường nguyễn trung trực , phường 5 , bình thạnh",,,,,,,,,mặt tiền đường nguyễn trung trực phường 5 bình thạnh,,,,mặt tiền đường nguyễn trung trực phường 5 bình thạnh
1169,"dự án lexington residence thuộc phường an phú , quận 2 , tp hồ chí minh",,,,,,,,,dự án lexington residence thuộc   tp,Phường An Phú, Quận 2,Hồ Chí Minh,"dự án lexington residence thuộc   tp, Phường An Phú,  Quận 2, Hồ Chí Minh"
1170,đào tấn,,,,,,,,,đào tấn,,,,đào tấn
1171,ngọc hồi hà nội,,,,,,,,,ngọc hồi hà nội,,,,ngọc hồi hà nội
1172,"km 14 , quốc lộ 1a , ngọc hồi , thanh trì , hà nội",,,,,,,,,km 14 quốc lộ 1a ngọc hồi thanh trì hà nội,,,,km 14 quốc lộ 1a ngọc hồi thanh trì hà nội
1173,( 84.24 ) 62623838 .,,,,,,,,,84 24 62623838,,,,84 24 62623838
1174,"âu cơ , tây hồ , hn",,,,,,,,,âu cơ tây hồ hn,,,,âu cơ tây hồ hn
1175,"âu cơ , tây hồ",,,,,,,,,âu cơ tây hồ,,,,âu cơ tây hồ
1176,ladeco building,,,,,,,,,ladeco building,,,,ladeco building
1177,266 đội cấn,,,,,,,,,266 đội cấn,,,,266 đội cấn
1178,"71 / 62 nguyễn bặc , phường 3 , tân bình",,,,,,,,,71 62 nguyễn bặc phường 3 tân bình,,,,71 62 nguyễn bặc phường 3 tân bình
1179,dự án safira khang điền đường võ chí công,,,,,,,,,dự án safira khang điền đường võ chí công,,,,dự án safira khang điền đường võ chí công
1180,"sadeco , phước kiển , nhà bè",,,,,,,,,sadeco phước kiển nhà bè,,,,sadeco phước kiển nhà bè
1181,lê thanh nghị,,,,,,,,,lê thanh nghị,,,,lê thanh nghị
1182,"số 302 / 1 / 12 lê đình cẩn , p . tân tạo , quận bình tân , hcm",,,,,,,,,số 302 1 12 lê đình cẩn p tân tạo quận bình tân hcm,,,,số 302 1 12 lê đình cẩn p tân tạo quận bình tân hcm
1183,"549 tô hiến thành , phường 14 , quận 10",,,,,,,,,549 tô hiến thành phường 14 quận 10,,,,549 tô hiến thành phường 14 quận 10
1184,"1170 / 49b đường 3 / 2 , phường 12 , quận 11",,,,,,,,,1170 49b đường 3 2 phường 12 quận 11,,,,1170 49b đường 3 2 phường 12 quận 11
1185,khu dân cư cityland center hills,,,,,,,,,khu dân cư cityland center hills,,,,khu dân cư cityland center hills
1186,cityland center hill,,,,,,,,,cityland center hill,,,,cityland center hill
1187,"nguyễn ngọc doãn , quận đống đa hn",,,,,,,,,nguyễn ngọc doãn quận đống đa hn,,,,nguyễn ngọc doãn quận đống đa hn
